"x1"	"x2"	"y"
1.10200656081979	0.921509883633495	4.76551443879261
2.08048792730285	1.99957800067422	3.53365896562548
2.8073404827797	2.77168955035404	7.81487573737953
3.9005254454239	4.01527577172488	7.19562987125921
5.03604838802998	4.92960140846076	9.70015081371292
6.02525326799303	5.99160209684945	14.8484446807067
6.98181720522115	7.00824545317062	13.6401756279356
7.80004519092496	8.07403900456091	16.4296443650083
8.78986389331189	9.03263772164621	20.0926912482239
9.7657812749408	9.95253041565539	21.1661845552749
11.0830663314328	11.0217529978605	21.6206778188289
11.8231126571416	12.1103705965931	23.3315550660634
12.9253808605743	12.9749746872609	24.554049275535
13.8899327190288	13.939191022214	28.1506233187955
14.8079430000252	14.9829792659842	30.7130530679798
16.0741003550883	15.9929296176315	33.397104522845
17.1159914346103	17.0940021350956	35.8808377450624
17.925383092569	17.8099414649093	34.499599588525
18.9496360811029	18.8340243288789	39.3844114749785
19.9052094547364	20.0986704711528	41.3967865736642
20.9023277907013	20.8703617665518	43.6647361106555
21.8038708788715	21.9649327646291	43.9637025552895
23.1085600694175	23.0766284216752	45.1559400098741
23.9521724798139	23.9382798106858	49.1844100267459
25.0127592397275	24.9751497946628	50.1156864391011
25.997661549112	26.022785784565	50.803532566422
26.9583357978837	27.1872374595443	54.7056446073983
27.9882550488843	28.0631370717311	55.8414644790709
28.7980552610869	28.9630582389876	59.0146293781186
29.8857911914416	30.0468430179523	60.6006123105767
30.9296059884744	31.0006998980852	62.2920391921258
32.0048396910415	31.9883652657446	64.8929147506509
33.0426948854496	33.0697497075014	65.793840883006
33.8860728115943	34.0465258486591	68.431606305407
35.0472610280886	34.9996454841921	71.0734157742548
35.9396465198954	36.0161291140914	72.7479401484259
36.9160779835895	37.0938981788004	76.5808417901107
38.0786901557682	38.0223885990627	74.4471360021091
38.9204090340544	38.9039739182641	79.3797101506433
40.0065507449908	40.0770184398128	81.2891797680692
